ask-f46d89d7f-4nlzw:/app# grep -r "Sync up Flocs successfully-------------------- Total Record:" logs/
logs/info.log:01:15:24.207 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21174 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 1134 , AreaCode: 8202 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-debug.log:00:54:50.431 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21142 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 773 , AreaCode: 8201 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-debug.log:00:54:51.588 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21141 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 7417 , AreaCode: 8204 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-debug.log:00:55:39.503 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21143 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 3178 , AreaCode: 8228 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-debug.log:00:56:04.975 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21144 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 597 , AreaCode: 8207 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-debug.log:00:56:31.735 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21145 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 2714 , AreaCode: 8322 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-debug.log:00:56:57.258 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21146 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 4697 , AreaCode: 8220 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-debug.log:00:57:13.349 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21147 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 846 , AreaCode: 8215 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-debug.log:00:57:45.444 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21149 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 3846 , AreaCode: 8213 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-debug.log:00:58:08.864 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21150 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 4818 , AreaCode: 8210 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
